rfi_id,subject,query,response,status
RFI-263353-01,Clarification on Battery Runtime Acceptance,"Section 26 33 53 Part 2.3.1.E requires a 10-minute battery runtime, but Part 3.4.2.C demands 12 minutes during site commissioning. Please clarify which runtime is the basis of design.",The design basis runtime is 10 minutes at full load. The field testing criteria in Part 3.4.2.C shall be corrected to 10 minutes. An addendum or site instruction will follow.,RESOLVED
RFI-238123-01,Chilled Water Design Temperature Change,"The design basis report lists 10°C entering chilled water, but chillers are optimized for 11°C entering in the energy model. Please clarify entering chilled water temperature.",Entering chilled water temperature is revised to 11°C. Spec Section 23 81 23 Part 2.2.1 is updated via Addendum No. 3.,RESOLVED
RFI-263213-01,Fuel Autonomy day tank local codes,Is there a conflict between Section 26 32 13 Part 2.3.8.C day tank capacity (1040 L) and local NBC codes capping indoor tanks below 1000 L?,Day tank size is capped at 990 L for fire code safety compliance. Spec Section 26 32 13 will be amended.,RESOLVED
RFI-261326-01,Short circuit rating busbar switchgear,Verify short-time short circuit rating requirement duration.,"Busbar short-circuit rating duration is 3 seconds, as specified in 26 13 26 Part 2.2.2.B.",RESOLVED
RFI-212200-01,Fire Suppression hold time testing standard,Please clarify room leakage and hold time verification testing requirements.,Hold time must be verified by door fan testing in accordance with NFPA 2001.,RESOLVED
RFI-260500-01,Submittal review turnaround time,What is the standard engineering submittal review turnaround time?,Turnaround time is 14 calendar days from receipt of package.,RESOLVED
RFI-263353-02,Bypass static switch transfer time limit,What is the required bypass static switch transfer time?,"Bypass transfer time shall be <= 4ms, as specified in Section 26 33 53 Part 2.2.8.",RESOLVED
RFI-263213-02,Generator transient load class,Confirm if generator must accept 100% block load.,Generator must accept 100% block load in a single step per ISO 8528-5 G3 class.,RESOLVED
RFI-238123-02,CRAH Fan motor power units,Clarify if fan motor power must be listed in kW or HP.,Fan motor power must be listed in electrical kW as specified in Part 2.3.2.B.,RESOLVED
RFI-212200-02,Obsolete NFPA standards reference,Spec Section 21 22 00 references NFPA 2001 (2008 Edition). Is this correct?,No. The reference is incorrect. The applicable version is NFPA 2001 (2018 Edition). This will be corrected.,RESOLVED
